date,oldTime,time_Combined,time_Unix,time,latitude,longitude,xcoord,ycoord,broadway,subway,male,race,perstop,age,frisked,searched,arstmade,sumissue,contrabn,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other
1/1/15,18:15,1/1/15 18:15,1420136100,65700,40.8451712,-73.9338326,1002557,247203,0,0,1,Hispanic,5,23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/1/15,18:15,1/1/15 18:15,1420136100,65700,40.6846931,-73.9080205,1009760,188742,0,0,,Other,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,18:27,1/1/15 18:27,1420136820,66420,40.7258772,-73.9775339,990477,203734,0,0,1,Hispanic,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,18:27,1/1/15 18:27,1420136820,66420,40.7258772,-73.9775339,990477,203734,0,0,1,Hispanic,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,18:50,1/1/15 18:50,1420138200,67800,40.8047468,-73.9383193,1001326,232474,0,1,1,Black,8,53,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
1/1/15,19:30,1/1/15 19:30,1420140600,70200,40.6459461,-73.9950956,985611,174612,0,0,1,Hispanic,5,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,19:45,1/1/15 19:45,1420141500,71100,40.8057601,-73.9447806,999537,232842,0,0,1,Black,5,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/1/15,20:00,1/1/15 20:00,1420142400,72000,40.8177552,-73.8886561,1015069,237227,0,0,1,Hispanic,2,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,20:30,1/1/15 20:30,1420144200,73800,40.8219476,-73.8928836,1013897,238753,0,0,1,Hispanic,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,20:34,1/1/15 20:34,1420144440,74040,40.6988491,-73.9385688,1001284,193892,0,0,1,Black,3,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/1/15,21:25,1/1/15 21:25,1420147500,77100,40.7225179,-73.978823,990120,202510,0,0,1,Black,5,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,21:55,1/1/15 21:55,1420149300,78900,40.6854362,-73.7932546,1041589,189067,0,0,1,Black,5,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/1/15,22:10,1/1/15 22:10,1420150200,79800,40.7949317,-73.9645739,994059,228894,0,0,1,Black,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,22:10,1/1/15 22:10,1420150200,79800,40.8661172,-73.918475,1006799,254838,0,0,1,Hispanic,10,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,22:15,1/1/15 22:15,1420150500,80100,40.8221187,-73.8968793,1012791,238814,0,1,1,Hispanic,10,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/1/15,22:15,1/1/15 22:15,1420150500,80100,40.8221187,-73.8968793,1012791,238814,0,1,1,Hispanic,10,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/1/15,22:35,1/1/15 22:35,1420151700,81300,40.7958734,-73.9653138,993854,229237,0,0,1,Black,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,22:50,1/1/15 22:50,1420152600,82200,40.8170836,-73.9479324,998662,236967,0,1,0,Black,5,27,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1/1/15,23:10,1/1/15 23:10,1420153800,83400,40.6974442,-73.9509217,997859,193378,0,0,1,Black,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/1/15,23:15,1/1/15 23:15,1420154100,83700,40.6983111,-73.9497886,998173,193694,0,0,1,Black,5,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1/1/15,23:25,1/1/15 23:25,1420154700,84300,40.8632302,-73.8684354,1020641,253803,0,0,1,Hispanic,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/15,23:25,1/1/15 23:25,1420154700,84300,40.865494,-73.8586729,1023340,254632,0,0,1,Hispanic,2,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,0:11,1/2/15 0:11,1420157460,87060,40.6550376,-73.9784696,990224,177925,0,0,1,Hispanic,5,49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,0:15,1/2/15 0:15,1420157700,87300,40.6849032,-73.9294521,1003816,188813,0,0,1,Black,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,0:50,1/2/15 0:50,1420159800,89400,40.6745576,-73.8716917,1019841,185062,0,0,1,Black,5,24,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1/2/15,1:35,1/2/15 1:35,1420162500,92100,40.6007906,-73.9613891,994972,158163,0,0,1,Other,5,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,1:50,1/2/15 1:50,1420163400,93000,40.6963552,-73.940706,1000692,192983,0,0,1,Black,5,16,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
1/2/15,1:50,1/2/15 1:50,1420163400,93000,40.7768767,-73.9493719,998272,222318,0,0,1,Hispanic,10,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,2:15,1/2/15 2:15,1420164900,94500,40.799931,-73.9406643,1000678,230719,0,0,1,Hispanic,10,30,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1/2/15,2:40,1/2/15 2:40,1420166400,96000,,,,,0,0,1,Black,5,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
